Unnamed: 0,space,seed,hier_ratio,hier_pval,dataset,feature,n_subjects,source_file,n_subjects_plot,n_subjects_label,num_classes
35,Joint_LDA,8,1.327756705498156,0.0,lemon,complexity,10,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n10_2_complexityclasses.csv,10.0,10,2
36,Raw,9,1.517346709337875,0.0,lemon,complexity,10,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n10_2_complexityclasses.csv,10.0,10,2
37,Trait_LDA,9,1.5431087690501677,0.0,lemon,complexity,10,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n10_2_complexityclasses.csv,10.0,10,2
38,State_LDA,9,0.94374928119505,0.0,lemon,complexity,10,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n10_2_complexityclasses.csv,10.0,10,2
39,Joint_LDA,9,1.3058770847790353,0.0,lemon,complexity,10,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n10_2_complexityclasses.csv,10.0,10,2
0,Raw,0,1.395408330949882,0.0,lemon,complexity,all,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_nall_2_complexityclasses.csv,156.0,all (156),2
1,Trait_LDA,0,1.742393904541684,0.0,lemon,complexity,all,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_nall_2_complexityclasses.csv,156.0,all (156),2
2,State_LDA,0,0.8987768595404707,0.0,lemon,complexity,all,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_nall_2_complexityclasses.csv,156.0,all (156),2
3,Joint_LDA,0,1.485278873421748,0.0,lemon,complexity,all,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_nall_2_complexityclasses.csv,156.0,all (156),2
0,Raw,0,1.8274731737968144,0.0,lemon,psd,10,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/psd/hierarchy/hierarchy_results_n10_2classes.csv,10.0,10,2
1,Trait_LDA,0,2.6103217200503783,0.0,lemon,psd,10,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/psd/hierarchy/hierarchy_results_n10_2classes.csv,10.0,10,2
2,State_LDA,0,1.032399672840451,0.0,lemon,psd,10,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/psd/hierarchy/hierarchy_results_n10_2classes.csv,10.0,10,2
3,Joint_LDA,0,1.799691328922495,0.0,lemon,psd,10,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/psd/hierarchy/hierarchy_results_n10_2classes.csv,10.0,10,2
